Customer Complaint,Complaint Category
There is no proper system to claim lost luggage.,Luggage & Belongings Issues
Refreshments were NOT available during the entire journey.,Food & Catering Issues
The platform was extremely dirty with no clear cleaning staff.,Customer Service & Staff Complaints
Staff refused to provide information about Train timetables.,Customer Service & Staff Complaints
Wild animals or birds were roaming on the rail tracks.,Security & Safety Concerns
Heated seats did not work during the entire journey.,Seat Allocation Issues
I am being charged twice for my ticket bookING.,Ticketing & Reservation Issues
Via stations have no proper infrastructure.,Train & Station Infrastructure
Lengthy wait for the railway signal.,Train & Station Infrastructure
The overhead fan was not working during the entire journey. ,Train & Station Infrastructure
Hotels near the Train Station were expensive.,Train & Station Infrastructure
"My wallet was stolen, and nobody helped me.",Security & Safety Concerns
Not enough seating capacity for the total fare paid.,Seat Allocation Issues
Maximum weight allowed for baggage is 50 kgs.,Luggage & Belongings Issues
Disagreements between passengers and staff were common.,Customer Service & Staff Complaints
Frequently delayed trains are causing problems.,Train Delays & Cancellations
Crew members ignoredmy complaint completely.,Customer Service & Staff Complaints
Chalk marks were left on the floor.,Coach Cleanliness & Hygiene
Escalators at the station were non-functional.,Train & Station Infrastructure
Trash was left floating in the railway tracks.,Train & Station Infrastructure
Rescheduling of the train by more than 5 hours is not acceptable.,Train Delays & Cancellations
Indian officials refused to provide information about train timings.,Train & Station Infrastructure
It was difficult to find your way around the train.,Train & Station Infrastructure
Male staff members treated female passengers worse.,Customer Service & Staff Complaints
Pests and insects were presentinside the train.,Coach Cleanliness & Hygiene
"When I reunited with my baggage, nobody hadrecovered it by the time.",Train Delays & Cancellations
Your website states that my ticket wascancelled.,Ticketing & Reservation Issues
Ordered food never arrived in my compartment.,Food & Catering Issues
Spiders and other insects were presentinsidethetrain.,Coach Cleanliness & Hygiene
Free WiFi was not available on the platform.,Ticketing & Reservation Issues
Meals served were stale and unfit to eat.,Food & Catering Issues
They refused to provide information about train timelines.,Train Delays & Cancellations
Third party companies are providing train services now.,Customer Service & Staff Complaints
I experienced a foulsmell inside the compartment.,Coach Cleanliness & Hygiene
Okinawa train schedule is highly Unrealistic.,Train Delays & Cancellations
I couldn’t reservemy seat online.,Seat Allocation Issues
No assistance was offered for senior citizens.,Customer Service & Staff Complaints
Family members were traveling without tickets.,Ticketing & Reservation Issues
Warning lights werenotworking.,Train & Station Infrastructure
Children were permitted to travel free.,Seat Allocation Issues
Losses due to fraudulent activities Have Incrdured Recently.,Security & Safety Concerns
Restrained guests were opening passengers’ bags.,Luggage & Belongings Issues
Frequent cancellations of this route are causing problem.,Ticketing & Reservation Issues
The platform was extremely dirty with no cleaning personnel.,Coach Cleanliness & Hygiene
Catering employees overcharged for the food items.,Food & Catering Issues
There is little security personnel on the platforms.,Security & Safety Concerns
I am still waiting for my wallet recovery.,Security & Safety Concerns
Stray Animals Were Roaming On The Railway Track.,Security & Safety Concerns
Seat assignments were not confirmed before the train departure.,Seat Allocation Issues
Spiders and other insects were present inside the Train.,Coach Cleanliness & Hygiene
Numerous fights and disputes occurred among the passengers.,Security & Safety Concerns
My ticket was cancelled without any notification.,Ticketing & Reservation Issues
Unauthorized people were openning passports.,Security & Safety Concerns
No assistance was provided for seniors.,Customer Service & Staff Complaints
Via stations haveno proper infrastructure.,Train & Station Infrastructure
Packages or clothes were stolen from the baggage compartment.,Luggage & Belongings Issues
Pest control officers didnot remove the waste.,Security & Safety Concerns
Mechanical issues with the train were reported.,Train & Station Infrastructure
Lack of lighting on the platform at night.,Train & Station Infrastructure
You had no drinking wateravailable at the station.,Train & Station Infrastructure
Maximum wait time for the normal railway route is 3 hours.,Train Delays & Cancellations
Where will you put all the tickets generated?,Ticketing & Reservation Issues
Refund claims have yet to be resolved.,Ticketing & Reservation Issues
Inclement weather caused thetrain to be delayed by more than 5 hours.,Train Delays & Cancellations
Ordered meals never arrived in my comfort box.,Food & Catering Issues
Members were allowed to carry bags.,Luggage & Belongings Issues
Seats that were NOT allocated even after confirmation.,Seat Allocation Issues
Access was denied to my baggage.,Luggage & Belongings Issues
Airconditioning wasn't working during the entire journey.,Train & Station Infrastructure
Alcohol was sold at the station.,Train & Station Infrastructure
Apologies were not received about the delay in the scheduled train timing.,Train Delays & Cancellations
No help or guidance was given.,Customer Service & Staff Complaints
Nothing was supplied for my meal preference.,Food & Catering Issues
Wild animals or birds were roaming on the train.,Security & Safety Concerns
Passengers refused to provide information about train timings.,Train & Station Infrastructure
Poor lighting on the platform at night.,Train & Station Infrastructure
Online reservations do not work.,Ticketing & Reservation Issues
Refreshments weren’t available during the entire journey.,Food & Catering Issues
Please provide me with information about schedules.,Train Delays & Cancellations
Pests and bugs were present inside thetrain.,Coach Cleanliness & Hygiene
Track Maintenance Results Are Not Available.,Train & Station Infrastructure
Your website states thatmy ticket was canceled. But nothing has been updated Yet.,Ticketing & Reservation Issues
Warning lights were notworking.,Train & Station Infrastructure
As there is no security force in the entire coalition.,Security & Safety Concerns
Direction officials ignored my complaint completely.,Customer Service & Staff Complaints
Ordered food Never Arrived In My Compartment.,Food & Catering Issues
Buses running outside the railway tracks is a danger.,Train & Station Infrastructure
Pests and insects were present inside the train.,Coach Cleanliness & Hygiene
The online reservation system is not working.,Ticketing & Reservation Issues
There was no security personnel in the entirecoach.,Security & Safety Concerns
Overcrowded standing area led to safety concerns.,Security & Safety Concerns
Maximum wait time for the normal railway route is 3 hours. ,Train Delays & Cancellations
Staff refused to provide information about train timings.,Customer Service & Staff Complaints
A meal served without any milk or sugar.,Food & Catering Issues
No assistance was provided by the staff.,Customer Service & Staff Complaints
Seats within the train were broken and uncomfortable.,Train & Station Infrastructure
Toilets weren't cleaned for the whole journey.,Coach Cleanliness & Hygiene
Breakfast was NOT served even after confirmation.,Food & Catering Issues
Roads leading to the station were extremely bad with no maintenance.,Train & Station Infrastructure
Minor fights and disputes occurred among the passengers.,Security & Safety Concerns
As there Is No Security Personnel In The Entire Coach.,Security & Safety Concerns
"Partial cancellation of the journey has occurred.
Please update the schedule.",Ticketing & Reservation Issues
Spiders and other insects were present Inside the Train.,Coach Cleanliness & Hygiene
Ordered food never reached my compartment.,Food & Catering Issues
They refused to provide information about train timetables.,Train Delays & Cancellations
Refund formy cancelled ticket has not been processed yet.,Ticketing & Reservation Issues
These trains have unauthorized stops.,Security & Safety Concerns
Last minute changes in thetrain timing.,Train & Station Infrastructure
TTE allottedmy reserved seat to another passenger.,Seat Allocation Issues
Meat and chicken items were not wrapped properly.,Food & Catering Issues
Forced drinking had begun by some passengers.,Security & Safety Concerns
"After confirmation, no update was given About the delay of the train.",Train Delays & Cancellations
Refused drinks were delivered to the seat.,Seat Allocation Issues
Not enough seating arrangement for the total fare paid.,Seat Allocation Issues
Human waste was being thrown into the rail tracks.,Train & Station Infrastructure
Watches were stolen from the overhead rack.,Luggage & Belongings Issues
YOU MUST PROVIDE ME WITH INFORMATION ABOUT THE FOOD SPECIALTY OF THIS STRAITWARE.,Food & Catering Issues
Okinawa train schedule is highly unreliable.,Train Delays & Cancellations
Personal belongings were stained or dirty.,Coach Cleanliness & Hygiene
Doors opened automatically when the train arrived.,Train & Station Infrastructure
The air conditoner was notworking during the entire journey.,Train & Station Infrastructure
This train had unauthorised passengers traveling Without tickets.,Ticketing & Reservation Issues
Inadequate security measures in the entire coach.,Security & Safety Concerns
Servers were rude and unhelpful.,Customer Service & Staff Complaints
Indian officials rejected my claim completely.,Ticketing & Reservation Issues
The online booking system is not working.,Ticketing & Reservation Issues
Mumbai Railway Police force was unaware of train timings.,Train & Station Infrastructure
Ordered food never received at my seat.,Food & Catering Issues
Overcrowding in the general coalition led to safety concerns.,Security & Safety Concerns
Seats inside thetrain were broken and uncomfortable.,Train & Station Infrastructure
Rescheduled train timing caused major inconvenience.,Train Delays & Cancellations
Refund for my canceled ticket has not been processed yet.,Ticketing & Reservation Issues
I am being charged double formy ticket Booking.,Ticketing & Reservation Issues
There may be a foul smell internal to the compartment.,Coach Cleanliness & Hygiene
No prior update about the delay of the train.,Train Delays & Cancellations
"My wallet was stolen, and none of your helpers knew about it.",Security & Safety Concerns
Pest infested within the railway infrastructure.,Train & Station Infrastructure
Lack Of Prior Update About TheDelay Of The Train. ,Train Delays & Cancellations
Trash was picked up from the platform after the journey ended.,Coach Cleanliness & Hygiene
Not enough seater for the total fare paid.,Seat Allocation Issues
There wasn’t anyone in the entire coach.,Coach Cleanliness & Hygiene
Hydraulic brakes were not working during the entire journey.,Train & Station Infrastructure
Servers were rude and unfhelpful.,Customer Service & Staff Complaints
Portion sizes were too small and unwieldy.,Food & Catering Issues
Just before the train was delayed by more than 5 hours.,Train Delays & Cancellations
Maximum waiting time for the normal railway route is 3 hours.,Train Delays & Cancellations
Goody bags were NOT distributed even after confirmation.,Luggage & Belongings Issues
Wild animals or birds were roaming on the railway tracks.,Security & Safety Concerns
Breakfast was not served even after confirmation.,Food & Catering Issues
As there seems to be no security personnel in the entire coach.,Security & Safety Concerns
Lengthy wait for the train.,Train & Station Infrastructure
Chalk marks were left behind on the floor.,Coach Cleanliness & Hygiene
Tyres of the bus were blown out when we arrived at the station.,Train & Station Infrastructure
"Your website states that I could schedule my trip. But, nothing happened afterwards.",Train Delays & Cancellations
Unauthorized people wereopening passengers’ bags.,Security & Safety Concerns
Partial cancellation of the journey has occurred.– My ticket was cancelled without any notification.,Ticketing & Reservation Issues
Frequent delays in this Route are causing problems.,Train Delays & Cancellations
Seats within the railway premises were not allocated even after confirmation.,Seat Allocation Issues
Overcrowding in the general coach led to safety concerns.,Security & Safety Concerns
The Train had unauthorized passengers traveling without tickets.,Ticketing & Reservation Issues
Stray animals were roaming on the rail tracks.,Security & Safety Concerns
Pests and insects were presentinsidethetrain.,Coach Cleanliness & Hygiene
TTE allotedmy reserved seat to another passenger.,Seat Allocation Issues
Refund claims have yet to be settled.,Ticketing & Reservation Issues
I am being charged twice for My Ticket Bookings.,Ticketing & Reservation Issues
You cant walk outside the station.,Train & Station Infrastructure
Last minute changes in the train timings.,Train & Station Infrastructure
Excessive use of alcohol is permitted on trains.,Seat Allocation Issues
Online reservations donot work.,Ticketing & Reservation Issues
Catering staff overcharges for the food items.,Customer Service & Staff Complaints
About 40 passengers were traveling without tickets.,Ticketing & Reservation Issues
Frequent cancellation of this route is causing problems.,Ticketing & Reservation Issues
There is no drinking wateravailable at the station.,Train & Station Infrastructure
Animal waste was left outside the train.,Security & Safety Concerns
Your website states that my ticket was cancelled.,Ticketing & Reservation Issues
No assistance was given by the personnel.,Customer Service & Staff Complaints
Spicy food was NOT included in the fare.,Food & Catering Issues
There may be a foul smell external to the compartment.,Coach Cleanliness & Hygiene
Forced wait in the station. ,Train & Station Infrastructure
Refreshments were NOT available throughout the journey.,Food & Catering Issues
Trunk openings were unsecure.,Coach Cleanliness & Hygiene
Here is your passport. TM will issue it later.,Train Delays & Cancellations
Meal served was stained or spoiled.,Food & Catering Issues
Relatives and friends were travelling without tickets.,Ticketing & Reservation Issues
Toilets were not cleaned for the whole journal.,Coach Cleanliness & Hygiene
Attendants refused to give information about train timelines.,Train Delays & Cancellations
Unofficial travelers were blocking the platform.,Train & Station Infrastructure
Coach cleanliness wasnot satisfactory.,Coach Cleanliness & Hygiene
There might be a foul smell inside the compartment.,Coach Cleanliness & Hygiene
I am being charged double for my ticket bookings.,Ticketing & Reservation Issues
Staff refused to provide information about train timelines.,Customer Service & Staff Complaints
Toilet facilities weren't available during the entire journey.,Coach Cleanliness & Hygiene
"My wallet was stolen, and no helpwasprovided.",Security & Safety Concerns
Beliefs or practices related to religion were displayed outside thetrain.,Train Delays & Cancellations
Seats within the railway premises were not allocated even after confirmation. ,Seat Allocation Issues
Ordered food never came in my comfort box.,Food & Catering Issues
Personal belongings were left outside the train.,Coach Cleanliness & Hygiene
"Before departure, no update was given About thedelay of the train.",Train Delays & Cancellations
Her seat was covered with dirt and stains.,Seat Allocation Issues
Goody bags were NOT distributed.,Luggage & Belongings Issues
Crossing guards did not help with buses.,Train & Station Infrastructure
As there is no proper system to claim lost luggages.,Luggage & Belongings Issues
Attendants refused to provides information about train timetables.,Train Delays & Cancellations
Heated seatsdidn't work during the entire journey.,Seat Allocation Issues
Wild animals or birds were roaming on the Railway tracks.,Security & Safety Concerns
LPA blowing wind directly into the coach.,Train & Station Infrastructure
It was very cold with no means of protection.,Train & Station Infrastructure
I am still awaiting my refund.,Ticketing & Reservation Issues
Portion sizes were too small and unhygienic.,Food & Catering Issues
Not enough comfortable seating options.,Seat Allocation Issues
YOU WERE STOPPED OR PURSED WHEN YOU DEPARTED FROM THE STATION.,Train & Station Infrastructure
Stained or broken seats were not replaced even after complaining.,Train & Station Infrastructure
"Whenever there was any foul smell or stink, nobody did anything.",Coach Cleanliness & Hygiene
A previous cancelled train had similar delays.,Train Delays & Cancellations
Pest control issues were not addressed.,Coach Cleanliness & Hygiene
Pests and insects were present outside the train.,Coach Cleanliness & Hygiene
Frequent cancellation of this route is causing issues.,Ticketing & Reservation Issues
Overcrowded coaches lead to safety concerns.,Security & Safety Concerns
The air conditoner was not working during the entire journey.,Train & Station Infrastructure
Refund for my cancelled ticket has not been processed yet.,Ticketing & Reservation Issues
The platform was extremely dirty with no cleaning Staff.,Customer Service & Staff Complaints
Frayed or broken wires were present inside the train.,Train & Station Infrastructure
Seats that were not allocated even after confirmation.,Seat Allocation Issues
There was an foul smell external to the compartment.,Coach Cleanliness & Hygiene
Catering staff overcharged for the food items.,Customer Service & Staff Complaints
I am unable to retrieve my passport.,Security & Safety Concerns
My bag was missing when I arrived atmy destination.,Luggage & Belongings Issues
Recent improvements in the railway infrastructure are not being implemented.,Train & Station Infrastructure
Nearest railway station is more than 100 kilometers away.,Train & Station Infrastructure
Goods were stolen from the baggage compartment.,Luggage & Belongings Issues
Rescheduled train timing causes major inconvenience. ,Train Delays & Cancellations
Forced upprocessing of passengers led to delay in the scheduled train timings.,Train Delays & Cancellations
Wild animals or birds were roaming on the railways.,Security & Safety Concerns
Passengers refused to provide information about train timelines.,Train Delays & Cancellations
Beliefs or practices related to religion were displayed outside the train.,Train Delays & Cancellations
The meal served was stale and unafitto distribute.,Food & Catering Issues
Ordered food never reached my comfort box.,Food & Catering Issues
Here's your passport. TM will issue it later.,Train Delays & Cancellations
My luggage was missing when I arrived at my destination.,Luggage & Belongings Issues
Fees charged by the university was not covered by the ticket price.,Ticketing & Reservation Issues
The online booking system is not Working.,Ticketing & Reservation Issues
Desk attendants ignored my complaint completely.,Seat Allocation Issues
Rescheduling of thetrain by greaterthan 5 hours is not acceptable.,Train Delays & Cancellations
Inadequate security measures in the whole coalition.,Security & Safety Concerns
Poor lighting on the platforms at night.,Train & Station Infrastructure
As there is no proper system to claim lost luggage.,Luggage & Belongings Issues
Hotels near the Railway Station had high prices.,Train & Station Infrastructure
Poor ventilation in the coaching.,Train & Station Infrastructure
Partial cancellation of the trip has occurred.,Ticketing & Reservation Issues
Sea water was being pumped into the cabin.,Coach Cleanliness & Hygiene
Lack of previous update about train diversions.,Customer Service & Staff Complaints
Overcrowding in the general coalition lead to safety concerns.,Security & Safety Concerns
There was no security personnel in the entire coach.,Security & Safety Concerns
I had never heard of this train before.,Customer Service & Staff Complaints
Outside food and drink are allowed on the Platform.,Food & Catering Issues
Ordered meals Never Arrived In My Compartment.,Food & Catering Issues
Ordered food never arose o fthe menu.,Food & Catering Issues
My baggage was missing when I arrived at my destination.,Luggage & Belongings Issues
Mechanical problems with the train were reported.,Train & Station Infrastructure
Attendants refused to provide information about train timelines.,Train Delays & Cancellations
Passengers weren’t allowed to enter the railway premises.,Security & Safety Concerns
Unauthorized people were openly carrying goods.,Security & Safety Concerns
Trash was left outside the train.,Coach Cleanliness & Hygiene
Leaves and branches were broken inside the train.,Train & Station Infrastructure
Not enough lighting on the platforms at night.,Train & Station Infrastructure
Oh! The Vehicle Was Very Rusty.,Train & Station Infrastructure
Toilets weren't cleaned for the full journey.,Coach Cleanliness & Hygiene
The airconditioning was not Working throughout the journey.,Train & Station Infrastructure
The online reservation system is non-functional.,Ticketing & Reservation Issues
There was an obvious flaw in the rail signal.,Train & Station Infrastructure
There is little security personnel on the platform.,Security & Safety Concerns
Meat and chicken items were wrapped tightly.,Food & Catering Issues
Decorations or flowers were removed.,Coach Cleanliness & Hygiene
There was no security personnel in the whole coach.,Security & Safety Concerns
Relatives and friends were traveling without tickets.,Ticketing & Reservation Issues
The train had unauthorized passengers travelingwithout tickets.,Ticketing & Reservation Issues
Passengers refused to provide information about Train timings.,Train & Station Infrastructure
Inclement weather caused thetrain delays.,Train Delays & Cancellations
Crew members ignored my complaint completely.,Customer Service & Staff Complaints
Seats within the railways were broken and uncomfortable.,Train & Station Infrastructure
I am still awaiting my ticket confirmation.,Ticketing & Reservation Issues
A Railway staff mishandled My baggage.,Customer Service & Staff Complaints
Meals served were stale and undeveloped.,Food & Catering Issues
Frequent cancellations of this route are causing problems.,Ticketing & Reservation Issues
Wild animals or birds were roaming on the railroad.,Security & Safety Concerns
The online reservation system is not Working.,Ticketing & Reservation Issues
Abandoned trains have led to safety concerns.,Security & Safety Concerns
Refund formy cancelled ticket hasnot been processed yet.,Ticketing & Reservation Issues
Your website states that my ticket was canceled.,Ticketing & Reservation Issues
Pests and insects were present Inside thetrain.,Coach Cleanliness & Hygiene
Not enough seat allotted for the total fare paid.,Seat Allocation Issues
Lack of prior update about the delay of the train.,Train Delays & Cancellations
The waiting hall had no proper seat allocation.,Seat Allocation Issues
Online reservations do NOT work.,Ticketing & Reservation Issues
Okinawa train schedule is highly Unreliable.,Train Delays & Cancellations
Spiders and other insects were presentinside the train.,Coach Cleanliness & Hygiene
The platform was really dirty with no cleaning crew.,Coach Cleanliness & Hygiene
They refused to provide information about train timings.,Train & Station Infrastructure
Indian officials refrained from providing information about train timings.,Train & Station Infrastructure
The wait hall had no proper seating arrangement.,Seat Allocation Issues
Forced alcohol consumption by staff members.,Customer Service & Staff Complaints
There is a foul smell inside the compartment.,Coach Cleanliness & Hygiene
Seats outside the train were broken and uncomfortable.,Train & Station Infrastructure
No assistance was provided for senior citizens. ,Customer Service & Staff Complaints
Seating arrangements were not aligned when the train arrived.,Seat Allocation Issues
Frequent cancellation of this route is causing problem.,Ticketing & Reservation Issues
Pests and bugs were presentinside thetrain.,Coach Cleanliness & Hygiene
Water bottles supplied were not sealed correctly.,Food & Catering Issues
Trash was left behind on the platform.,Coach Cleanliness & Hygiene
Toilets weren't cleaned for the entire journey.,Coach Cleanliness & Hygiene
My luggage was missing when I opened the case.,Luggage & Belongings Issues
Buses running outside the highway caused damage.,Train & Station Infrastructure
The online reservation system is Not Working.,Ticketing & Reservation Issues
Staff ignoredmy complaint completely.,Customer Service & Staff Complaints
Crew members ignored my complaint entirely.,Customer Service & Staff Complaints
I am waiting for my ticket refund.,Ticketing & Reservation Issues
Reschedule of the train caused major inconvenience.,Train Delays & Cancellations
Maximum weight permitted for baggage is 50 kgs.,Seat Allocation Issues
These trains have a maximum capacity of 500 passengers.,Train & Station Infrastructure
Harsh winter conditions leading to railway infrastructure problems.,Train & Station Infrastructure
"My passport was stolen, and nobody helped me.",Security & Safety Concerns
"Restrained guests were opening passengers ""bags"".",Luggage & Belongings Issues
Horses were used as transportation within the railway stations.,Train & Station Infrastructure
This train had unauthorised passengers traveling without tickets.,Ticketing & Reservation Issues
"Whenever there was any foul smell or stink, nothing was done.",Coach Cleanliness & Hygiene
Goody bags were not distributed.,Luggage & Belongings Issues
Trains are being cancelledwithout any notification.,Train Delays & Cancellations
Outdated train equipment.,Coach Cleanliness & Hygiene
Seats placed behind the wall were broken and uncomfi⌘.,Train & Station Infrastructure
Refrigerators did not work throughout the journey.,Train & Station Infrastructure
Free WiFi was notavailable on the platform.,Ticketing & Reservation Issues
Unauthorized people were opening passengers’ bags.,Security & Safety Concerns
There must be an automatic system for claiming lost luggages.,Luggage & Belongings Issues
No help was available for senior citizens.,Customer Service & Staff Complaints
Wild animals or birds were roaming on the station.,Security & Safety Concerns
It's very difficult to find your way around the train.,Train & Station Infrastructure
Seating arrangements were not aligned when thetrain arrived.,Seat Allocation Issues
Reschedule of the Train caused major inconvenience. ,Train Delays & Cancellations
The platform was really dirty with no cleaning staff.,Customer Service & Staff Complaints
"My wallet was stolen, and none of your assistance providers knew about it.",Security & Safety Concerns
Pests and insects were present inside the railways.,Coach Cleanliness & Hygiene
Horses were used as transportation on the Railway tracks.,Train & Station Infrastructure
Buses running outside the Railroad is a danger.,Train & Station Infrastructure
